State,Crime Rate,Health Facilities,Police Presence,Hospital Access,Road Condition,Recent Incidents,Risk Level
Borno,8138,2612,4,1,5,12,Medium
Ondo,6083,3254,3,3,2,5,Medium
Akwa Ibom,9363,2793,1,5,5,6,Medium
Osun,13717,1631,3,2,2,3,Medium
Bauchi,5193,1008,2,2,5,20,High
Akwa Ibom,3902,3365,4,5,4,18,Medium
Gombe,12159,2512,5,3,3,4,Medium
Gombe,2118,2120,4,3,3,18,Medium
Adamawa,6766,2278,1,4,3,14,High
Adamawa,1932,1710,3,1,1,19,High
Katsina,9307,1774,4,5,5,1,Low
Gombe,14268,2541,2,5,3,15,High
Jigawa,3471,453,4,3,1,2,Low
Jigawa,11586,906,1,4,2,14,High
Jigawa,9564,2697,2,3,3,9,Medium
Ekiti,7697,3372,3,1,5,20,High
Kebbi,6482,469,3,5,1,12,Medium
Delta,5128,3164,5,3,2,2,Low
Kano,11872,779,3,4,3,4,Medium
Katsina,12613,547,3,4,5,20,High
Niger,6381,723,5,4,1,16,High
Edo,1298,1685,3,2,2,10,Medium
Nasarawa,8967,986,2,2,2,2,Medium
Delta,14835,3428,1,5,5,16,High
Adamawa,11845,1579,5,5,2,12,Medium
Bauchi,3658,940,5,4,2,1,Low
Enugu,6968,2970,2,5,4,9,Medium
Nasarawa,13264,3410,4,5,2,7,Medium
Delta,14248,3412,4,3,2,18,High
Gombe,8564,3351,3,5,4,16,High
Enugu,3655,1017,5,3,2,1,Low
Kebbi,8873,1720,5,5,1,3,Low
Delta,2374,3325,2,4,3,16,Medium
Bauchi,14615,1991,1,4,2,11,High
Oyo,1436,1899,1,5,4,11,Medium
Borno,7326,534,3,1,2,10,Medium
Oyo,2623,3127,3,2,2,1,Low
Delta,14594,2135,2,4,4,19,High
Abia,2298,277,3,2,2,17,High
Lagos,10975,2361,4,3,1,7,Medium
Delta,2996,395,2,5,4,14,Medium
Akwa Ibom,2816,2247,5,1,5,20,Medium
Jigawa,10421,1190,2,4,3,0,Low
Katsina,6780,1185,5,2,4,2,Low
Jigawa,6908,477,5,5,5,16,Medium
Kaduna,1333,1799,4,4,1,11,Medium
Cross River,13244,266,3,3,1,7,High
Lagos,11765,2773,1,3,5,4,Medium
Adamawa,6772,2436,3,4,2,15,High
Kebbi,3986,752,1,1,4,9,Medium
Benue,1717,3440,2,3,1,9,Medium
Jigawa,7524,2424,4,1,3,20,High
Benue,5687,1662,1,3,3,3,Low
Niger,7029,1989,4,4,4,10,Medium
Bayelsa,9129,3034,4,5,3,8,Medium
Niger,2353,3178,4,4,1,19,High
Ogun,3956,2434,3,1,3,2,Low
Ebonyi,11828,1410,3,5,4,13,High
Bayelsa,12301,2018,3,1,4,11,High
Katsina,8126,1324,1,4,1,11,High
Jigawa,14125,3271,2,2,1,19,High
Kogi,13801,1994,1,1,2,7,High
Nasarawa,11570,1700,3,5,4,1,Low
Katsina,3513,2981,4,3,3,14,Medium
Nasarawa,2259,2550,2,3,5,12,Medium
Ebonyi,11642,1341,2,1,1,5,High
Imo,9482,1785,5,3,1,8,Medium
Kwara,8311,1078,5,4,3,6,Medium
Anambra,3223,503,4,4,2,2,Low
Niger,12172,1509,3,5,1,17,High
Delta,5914,845,2,5,3,7,Medium
Anambra,4292,3444,2,4,2,0,Low
Edo,10077,2544,3,5,4,4,Medium
Katsina,2412,469,3,4,4,16,Medium
Enugu,13601,1877,5,2,1,10,High
Kebbi,2215,2043,4,3,5,4,Low
Osun,14583,3395,5,2,5,4,Medium
Enugu,9238,426,1,2,5,9,Medium
Bayelsa,3653,1521,2,5,3,9,Medium
Ondo,2292,1226,2,3,5,4,Low
Kebbi,5961,2716,5,5,1,20,High
Bayelsa,10696,2578,2,5,2,19,High
Ebonyi,14804,2508,1,1,1,1,High
Kebbi,13632,2562,3,5,2,13,High
Katsina,11469,324,4,3,5,20,High
Delta,8912,1203,4,4,3,2,Low
Kwara,1981,847,4,4,4,14,Medium
Benue,6573,2684,2,3,3,11,Medium
Ekiti,3142,3315,3,5,5,3,Low
Ebonyi,4960,2110,1,4,3,7,Medium
Bauchi,2586,407,3,5,4,13,Medium
Borno,3616,1541,5,2,3,5,Low
Imo,9433,2112,4,4,3,0,Low
Akwa Ibom,7442,2270,4,2,2,18,High
Edo,1797,407,3,5,4,20,Medium
Kogi,8710,1370,5,1,1,13,High
Bauchi,5333,3179,3,3,4,1,Low
Ekiti,1838,2535,5,3,2,17,Medium
Delta,2204,1782,5,5,4,8,Low
Ogun,11211,2986,5,2,1,3,Medium
Ekiti,7114,3455,3,3,5,4,Low
Benue,10870,2285,4,1,5,1,Low
Adamawa,3245,3122,3,5,4,14,Medium
Bauchi,10932,2311,2,5,3,10,Medium
Bayelsa,7438,2725,3,3,5,16,High
Ogun,9351,2380,4,3,5,15,High
Ogun,1272,1708,3,4,1,18,Medium
Delta,14054,3170,1,4,5,8,High
Kebbi,13827,3379,5,2,5,1,Medium
Kano,8871,898,5,4,5,4,Low
Ogun,12153,1192,1,1,5,6,Medium
Abia,8225,1484,4,4,2,6,Medium
Enugu,9221,3374,5,1,4,4,Medium
Jigawa,4397,2497,3,5,4,12,Medium
Ebonyi,3837,2082,5,5,3,11,Low
Kogi,13648,3152,3,4,5,6,Medium
Borno,5571,2485,3,3,2,9,Medium
Kwara,4396,3027,4,4,3,11,Medium
Kaduna,14031,3155,3,1,3,18,High
Kogi,9899,1755,4,2,3,9,Medium
Adamawa,5712,3125,1,4,3,20,High
Cross River,13244,2162,2,5,2,8,High
Oyo,10208,3051,3,1,2,19,High
Lagos,10614,1180,2,5,1,7,Medium
Kebbi,4814,415,1,3,4,15,Medium
Anambra,12160,3357,2,5,1,5,Medium
Enugu,11696,2148,4,3,2,10,High
Delta,11582,442,1,2,5,17,High
Lagos,12847,352,2,2,4,1,Medium
Ogun,7504,3427,4,3,2,1,Low
Abia,5888,2526,5,3,1,9,Medium
Gombe,11507,2425,5,2,4,16,High
Gombe,5470,989,1,2,3,14,High
Kebbi,5215,3143,2,3,1,9,Medium
Kano,12049,3301,2,5,2,20,High
Osun,7643,1951,5,1,3,12,Medium
Kogi,2562,956,2,3,4,7,Low
Abia,5272,1771,2,3,4,10,Medium
Delta,10543,3160,5,3,1,20,High
Edo,12350,1167,1,4,1,9,High
Bayelsa,7642,3010,5,1,3,20,High
Oyo,5833,1705,5,2,2,4,Low
Imo,3509,2063,5,4,3,17,Medium
Oyo,8714,3302,5,2,2,19,High
Ondo,13900,535,5,5,4,11,Medium
Akwa Ibom,10243,659,1,5,5,6,Medium
Kano,9792,813,2,5,3,14,High
Anambra,12145,1041,5,1,4,16,High
Gombe,14249,427,4,5,2,13,High
Gombe,10239,436,5,3,4,0,Low
Ekiti,5169,212,2,1,5,1,Low
Enugu,6644,3068,1,1,5,2,Low
Oyo,8734,329,3,2,4,4,Medium
Nasarawa,11510,3187,4,4,3,14,High
Ondo,7184,1738,1,2,5,20,High
Ondo,6697,685,2,4,5,16,Medium
Bauchi,12925,1112,1,3,1,14,High
Kogi,12781,2430,4,4,5,7,Medium
Borno,8546,1617,2,2,3,3,Medium
Adamawa,14262,2904,4,1,5,7,Medium
Benue,2102,613,5,4,1,19,Medium
Kogi,12522,399,2,4,1,14,High
Borno,9843,1089,1,5,2,9,Medium
Borno,14365,3196,5,5,3,19,High
Nasarawa,12018,1513,2,2,3,16,High
Borno,7775,1430,3,5,1,18,High
Osun,13045,917,4,4,5,1,Low
Edo,11540,2949,4,3,5,13,High
Enugu,3444,1428,4,5,2,15,Medium
Borno,14915,1123,3,4,2,1,Medium
Kaduna,7761,1906,5,2,5,12,Medium
Borno,5177,1032,3,4,1,11,Medium
Akwa Ibom,9775,3167,2,3,1,12,High
Kogi,10911,2669,1,2,1,18,High
Lagos,12001,2489,2,2,4,10,High
Delta,1251,1067,2,4,1,7,Low
Kwara,10902,3082,2,2,4,17,High
Ebonyi,13706,1359,4,5,4,20,High
Edo,6053,1271,3,4,5,14,Medium
Anambra,14153,3159,4,2,3,11,High
Ebonyi,7781,387,5,2,2,0,Low
Cross River,10065,2592,5,3,4,4,Medium
Benue,6404,1142,4,2,5,15,Medium
Kaduna,11725,3005,3,4,3,20,High
Lagos,9037,2087,2,2,3,4,Medium
Lagos,9954,2200,2,1,5,16,High
Adamawa,14747,504,1,4,1,4,High
Ogun,11333,1147,1,1,2,6,High
Jigawa,8471,1728,1,5,5,15,High
Kogi,8993,264,1,5,5,13,Medium
Abia,1274,2368,3,3,5,0,Low
Jigawa,14322,3058,4,1,2,3,Medium
Jigawa,3439,1187,2,5,5,8,Low
Ogun,6807,1294,4,3,1,12,Medium
Gombe,10256,1196,2,1,3,20,High
Ondo,11647,3311,1,4,1,12,High
Ekiti,10055,2149,1,2,1,2,Medium
Imo,14849,1977,3,1,5,16,High
Oyo,1697,1141,2,4,5,8,Low
Adamawa,2218,3003,3,5,5,1,Low
Bayelsa,14933,1488,1,5,2,4,Medium
Nasarawa,14446,3119,4,3,1,5,Medium
Kano,4939,2521,4,3,5,12,Medium
Nasarawa,13119,773,1,3,5,1,Medium
Anambra,8161,1150,1,5,3,19,High
Katsina,7499,3368,3,3,1,14,High
Imo,4737,1657,5,4,4,5,Low
Kogi,10598,2906,4,5,1,9,Medium
Niger,5037,3120,1,3,1,4,Medium
Ekiti,12660,3410,2,3,4,11,High
Anambra,2499,221,3,3,4,8,Low
Anambra,3170,557,2,4,4,17,Medium
Kaduna,9395,1871,1,1,1,11,High
Kaduna,2524,2645,5,4,3,0,Low
Delta,7779,1788,1,2,5,18,High
Jigawa,3778,3007,4,2,2,8,Medium
Delta,5397,2219,2,2,1,13,High
Cross River,7899,1427,4,3,1,8,Medium
Borno,12811,2760,4,5,5,6,Medium
Gombe,2752,754,3,4,1,10,Medium
Ogun,11161,1756,3,3,4,13,High
Ogun,14492,2866,5,3,2,10,High
Katsina,12391,1022,4,2,3,12,High
Ebonyi,5775,3210,4,2,5,10,Medium
Ekiti,5592,3418,4,1,3,18,High
Benue,10703,2434,2,1,5,14,High
Kwara,4434,1995,3,4,1,15,Medium
Bauchi,11376,1440,2,2,3,13,High
Niger,7176,502,4,4,5,18,High
Ekiti,9755,2275,4,1,5,11,Medium
Kwara,14308,2399,5,1,1,7,High
Kogi,11890,1654,2,1,5,18,High
Kebbi,12099,2849,4,4,3,3,Medium
Abia,2615,1259,2,5,5,17,Medium
Kano,12266,2556,2,3,4,12,High
Gombe,13654,2983,5,2,5,11,High
Abia,8909,628,3,1,4,3,Medium
Ogun,12962,780,3,3,3,14,High
Niger,4389,2334,4,4,3,3,Low
Gombe,12829,3053,4,1,3,9,High
Adamawa,14274,3111,1,3,1,20,High
Anambra,12094,3477,2,5,2,5,Medium
Kaduna,3623,1555,5,4,4,7,Low
Niger,7636,2779,2,4,2,12,Medium
Abia,13081,2715,2,5,4,13,High
Ekiti,1072,3086,2,3,2,2,Low
Kano,2667,3474,5,3,2,10,Medium
Benue,8496,666,3,5,4,20,High
Ebonyi,10780,1791,5,5,4,3,Low
Edo,6766,2075,5,3,2,19,High
Kano,2388,2952,2,1,3,7,Medium
Delta,2916,949,3,5,2,12,Medium
Enugu,10771,764,5,4,4,5,Medium
Imo,11412,2401,2,2,5,15,High
Delta,3298,966,3,5,4,1,Low
Ondo,6882,239,4,2,2,12,Medium
Kaduna,9281,2874,4,4,4,13,Medium
Kwara,14760,2018,4,1,2,18,High
Abia,14039,3317,2,1,3,8,High
Borno,9808,1382,2,5,4,15,High
Kaduna,9369,663,5,3,1,17,High
Ogun,7010,2420,1,5,4,6,Medium
Enugu,2677,3214,2,1,3,14,Medium
Cross River,6711,556,4,2,1,6,Medium
Niger,13085,2608,3,4,5,5,Medium
Katsina,3281,3414,2,1,2,18,High
Edo,9720,1351,5,2,5,10,Medium
Kwara,5794,1385,5,5,3,3,Low
Bauchi,13289,3418,4,3,1,20,High
Bauchi,12492,743,2,3,2,7,High
Nasarawa,14820,2969,4,2,4,18,High
Kebbi,5402,2771,4,4,4,2,Low
Kebbi,14018,3349,1,5,4,8,High
Kwara,7046,2062,4,5,3,0,Low
Ondo,13683,3201,1,3,4,2,Medium
Niger,9756,1829,2,2,4,15,High
Cross River,6289,1361,3,5,5,4,Low
Kano,14966,2187,3,1,1,3,High
Kebbi,13843,2082,1,2,1,14,High
Gombe,1011,1952,2,3,2,5,Low
Ondo,5489,582,3,1,3,11,Medium
Kogi,11631,877,1,3,4,7,Medium
Enugu,11739,573,1,2,1,15,High
Akwa Ibom,3174,2631,2,4,5,0,Low
Abia,12396,1607,1,2,4,15,High
Akwa Ibom,4751,1769,1,1,1,10,Medium
Edo,5902,761,4,2,2,2,Low
Jigawa,10228,234,5,4,2,11,Medium
Lagos,4490,2772,2,5,4,14,Medium
Ondo,4559,555,1,1,2,18,High
Lagos,7291,1639,4,2,3,7,Medium
Cross River,11561,545,2,5,5,19,High
Lagos,10954,1367,1,2,3,16,High
Katsina,9348,972,4,1,3,7,Medium
Imo,7322,661,2,5,4,2,Low
Jigawa,1197,1679,3,4,2,18,Medium
Enugu,6986,2437,2,1,4,0,Low
Kano,2106,256,3,1,2,1,Low
Niger,7520,2275,3,4,5,13,Medium
Kwara,7590,537,5,5,5,4,Low
Cross River,2369,1469,1,2,5,4,Low
Kaduna,6353,1800,5,3,1,13,Medium
Lagos,14868,1177,1,1,2,13,High
Anambra,8428,2707,5,3,1,5,Medium
Anambra,1207,3099,2,2,1,15,Medium
Edo,9568,2318,3,3,2,4,Medium
Lagos,13797,1300,1,3,1,13,High
Cross River,9582,461,3,1,5,15,High
Gombe,9368,1675,1,5,4,5,Medium
Edo,3577,1244,1,1,5,7,Medium
Lagos,9336,210,1,2,1,1,Medium
Imo,6963,1768,2,1,2,17,High
Niger,12698,3233,4,3,2,7,Medium
Enugu,12801,1510,3,5,1,11,High
Anambra,9225,2957,1,2,2,16,High
Adamawa,7568,482,4,3,3,10,Medium
Akwa Ibom,10061,2070,1,2,3,9,High
Kano,13853,1444,5,4,2,11,High
Kano,9083,3364,2,2,5,4,Medium
Abia,7718,297,2,3,5,20,High
Ogun,12361,239,3,4,1,9,High
Anambra,4361,2370,2,4,4,1,Low
Bauchi,12659,1346,1,2,1,16,High
Enugu,12482,1725,4,5,1,3,Medium
Jigawa,3187,2810,4,5,1,18,Medium
Adamawa,8126,2913,2,3,2,8,Medium
Ondo,6161,3480,4,3,3,14,Medium
Cross River,4827,505,2,5,2,3,Low
Bauchi,2731,873,4,3,4,13,Medium
Anambra,9780,1667,2,3,4,14,High
Cross River,14967,691,1,3,2,19,High
Adamawa,4522,1542,2,2,1,11,Medium
Ekiti,9412,400,3,2,3,0,Low
Ekiti,8408,2477,5,1,2,14,High
Anambra,14171,3451,2,1,1,1,Medium
Ogun,13795,1110,2,4,2,11,High
Kogi,11326,2840,1,5,5,8,Medium
Oyo,14316,507,1,2,1,20,High
Gombe,14259,727,1,1,3,1,Medium
Gombe,1829,888,5,4,4,15,Medium
Abia,7270,2998,4,3,2,6,Medium
Oyo,4066,1326,3,2,4,1,Low
Katsina,11144,2727,2,4,3,13,High
Osun,10022,2162,1,3,1,12,High
Bauchi,7868,1016,5,5,2,0,Low
Ekiti,13810,3121,3,5,4,15,High
Edo,10267,2257,3,3,4,5,Medium
Abia,6224,2645,2,3,1,1,Low
Niger,8728,2368,3,2,5,5,Medium
Anambra,5060,2890,2,5,3,1,Low
Nasarawa,4594,2558,4,2,3,5,Low
Borno,10707,1502,3,1,5,11,High
Kano,10234,782,5,4,2,17,High
Delta,3876,2208,1,1,1,7,Medium
Katsina,4584,281,5,1,4,10,Medium
Oyo,11061,1025,2,2,3,10,High
Adamawa,1359,805,5,1,2,16,Medium
Ondo,6978,497,3,5,4,3,Low
Ebonyi,5944,1521,2,4,2,20,High
Imo,11636,1499,2,5,5,11,Medium
Borno,11904,2612,2,3,4,9,Medium
Bauchi,3911,3185,1,4,5,18,Medium
Adamawa,3983,2667,3,2,5,20,High
Kano,2705,2232,2,1,3,7,Medium
Edo,6234,887,1,4,3,0,Low
Cross River,4435,1222,1,3,3,3,Low
Lagos,1020,397,4,4,4,5,Low
Osun,7783,2219,4,5,3,12,Medium
Anambra,14579,2163,5,2,2,14,High
Akwa Ibom,14094,336,3,3,1,8,High
Anambra,2215,1600,2,2,4,2,Low
Kaduna,2525,1584,5,4,5,0,Low
Enugu,11709,875,5,2,4,1,Low
Anambra,6424,1041,2,5,4,17,High
Cross River,11823,1353,3,1,2,1,Medium
Ekiti,10367,2451,4,1,2,11,High
Abia,8005,558,3,4,5,6,Medium
Anambra,1421,1047,2,1,3,15,Medium
Ondo,2892,1463,4,4,4,8,Low
Akwa Ibom,11516,2428,4,3,2,12,High
Edo,4056,2025,1,4,3,14,Medium
Cross River,4706,1300,5,2,1,3,Low
Akwa Ibom,11946,1608,5,5,4,7,Medium
Kaduna,1999,1785,5,5,4,15,Medium
Kano,4860,2150,3,4,1,1,Low
Jigawa,10358,2316,5,2,5,3,Low
Nasarawa,8357,908,2,2,2,4,Medium
